Genes Count,Fitness,Delta,Removed Gene
10,6.479791463982771,0.0,
9,6.479192957467316,0.0005985065154554,55217_AT1
8,6.477762904753917,0.0014300527133981,113612_AT1
7,6.476066907376844,0.0016959973770731,1638_AT1
6,6.4700991425264,0.0059677648504443,189_AT1
5,6.454117045385332,0.0159820971410677,3283_AT1
4,6.3675585199822216,0.0865585254031104,21_AT1
3,6.206517490713032,0.1610410292691897,8781_AT1
2,5.673438993727449,0.5330784969855831,132158_AT1
1,5.232510862589838,0.4409281311376105,283209_AT1
